,stabilizer.yaw,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,time,stateEstimate.x,stateEstimate.y,stateEstimate.z
69,,,,,21409,1.4460690021514893,3.1368753910064697,0.6612076163291931
70,90.12315368652344,0.027079088613390923,0.022513926029205322,0.12637989223003387,21508,,,
71,,,,,21509,1.451837182044983,3.144940137863159,0.6737939715385437
72,90.08133697509766,0.037826504558324814,0.029832668602466583,0.12990783154964447,21608,,,
73,,,,,21609,1.4596984386444092,3.154116630554199,0.6841819882392883
74,90.0561294555664,0.04270624369382858,0.032758332788944244,0.1308005005121231,21708,,,
75,,,,,21709,1.4667224884033203,3.1635680198669434,0.6916049122810364
76,90.00513458251953,0.04688060283660889,0.029144389554858208,0.12131713330745697,21808,,,
77,,,,,21809,1.4797477722167969,3.1726577281951904,0.7040409445762634
78,89.908447265625,0.04346476122736931,0.021351300179958344,0.11498382687568665,21908,,,
79,,,,,21909,1.4941372871398926,3.182692289352417,0.7151362299919128
80,89.7892074584961,0.033050600439310074,0.010779942385852337,0.10054235905408859,22008,,,
81,,,,,22009,1.5067057609558105,3.1902832984924316,0.7227784991264343
82,89.65209197998047,0.015018901787698269,-0.0006694158655591309,0.09894154965877533,22108,,,
83,,,,,22109,1.5153427124023438,3.1982944011688232,0.7298104763031006
84,89.51063537597656,-0.00116408069152385,-0.014447247609496117,0.09760120511054993,22208,,,
85,,,,,22209,1.5230246782302856,3.2025394439697266,0.7363415956497192
86,89.45323944091797,-0.022501256316900253,-0.019795386120676994,0.09483685344457626,22308,,,
87,,,,,22309,1.5220000743865967,3.2101874351501465,0.7434400320053101
88,89.46247863769531,-0.041041549295186996,-0.01732209324836731,0.09515181183815002,22408,,,
89,,,,,22409,1.5154365301132202,3.2211906909942627,0.7510978579521179
90,89.64295196533203,-0.05208995193243027,-0.01563638262450695,0.0917067676782608,22508,,,
91,,,,,22509,1.507428526878357,3.231128692626953,0.761101484298706
92,89.68768310546875,-0.062182068824768066,-0.028484757989645004,0.07359793782234192,22608,,,
93,,,,,22609,1.4946773052215576,3.2355828285217285,0.757668673992157
94,89.7776107788086,-0.06076662242412567,-0.02485569939017296,0.07991708070039749,22708,,,
95,,,,,22709,1.4813764095306396,3.248028039932251,0.7668569087982178
96,89.74232482910156,-0.06132249906659126,-0.026641905307769775,0.08730780333280563,22808,,,
97,,,,,22809,1.4615544080734253,3.2577908039093018,0.7815349698066711
98,89.66014099121094,-0.08199118822813034,-0.05032765492796898,0.07919349521398544,22908,,,
99,,,,,22909,1.416392207145691,3.2517263889312744,0.7814176082611084
100,89.64578247070312,-0.08195510506629944,-0.08132551610469818,0.08701907098293304,23008,,,
101,,,,,23009,1.380426049232483,3.2391245365142822,0.7856906056404114
102,89.74382019042969,-0.058028556406497955,-0.10740876942873001,0.07847532629966736,23108,,,
103,,,,,23109,1.3539572954177856,3.221632957458496,0.7852352261543274
104,89.79147338867188,-0.020810483023524284,-0.11586301773786545,0.08149658888578415,23208,,,
105,,,,,23209,1.330689787864685,3.203765630722046,0.79139643907547
106,89.85438537597656,0.029593415558338165,-0.10655587911605835,0.08956948667764664,23308,,,
107,,,,,23309,1.3210890293121338,3.1894845962524414,0.7993197441101074
108,89.95113372802734,0.06757257878780365,-0.09210361540317535,0.08569830656051636,23408,,,
109,,,,,23409,1.311515212059021,3.175856113433838,0.8058246970176697
110,89.96731567382812,0.10569924861192703,-0.06459513306617737,0.08434159308671951,23508,,,
111,,,,,23509,1.3132232427597046,3.1692728996276855,0.8102463483810425
112,89.97773742675781,0.12289242446422577,-0.03703110292553902,0.08053038269281387,23608,,,
113,,,,,23609,1.3100392818450928,3.1683592796325684,0.8150680065155029
114,89.94412231445312,0.13598555326461792,-0.004950973205268383,0.07384954392910004,23708,,,
115,,,,,23709,1.314976692199707,3.178453207015991,0.8192362189292908
116,89.86111450195312,0.1391936093568802,0.02056240476667881,0.0783410295844078,23808,,,
117,,,,,23809,1.3208421468734741,3.193772554397583,0.8306384682655334
118,89.85380554199219,0.13343745470046997,0.03283475711941719,0.08160114288330078,23908,,,
119,,,,,23909,1.3236124515533447,3.209146738052368,0.8384648561477661
120,89.86701202392578,0.10435736179351807,0.014724812470376492,0.0731431171298027,24008,,,
121,,,,,24009,1.306501865386963,3.2137556076049805,0.8309006094932556
122,89.90975189208984,0.050628628581762314,-0.025702640414237976,0.04859797656536102,24108,,,
123,,,,,24109,1.25963294506073,3.200662851333618,0.7960013747215271
124,90.0299301147461,0.029780639335513115,-0.05227939411997795,0.04093676805496216,24208,,,
125,,,,,24209,1.2238233089447021,3.1925644874572754,0.7726402878761292
126,90.19241333007812,0.08689882606267929,-0.03644663840532303,0.0772487074136734,24308,,,
127,,,,,24309,1.24351167678833,3.207310676574707,0.7924115657806396
