,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,stateEstimate.x,stateEstimate.y,stateEstimate.z,time,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.qx,stateEstimate.qy,stateEstimate.qz,stateEstimate.qw,controller.r_pitch,controller.r_roll,controller.r_yaw
674,,,,,,,37229,,,,-0.0014645492192357779,-0.004078979138284922,0.7035361528396606,0.7106448411941528,,,
675,,,,,,,37230,,,,,,,,-0.06118668243288994,0.015068231150507927,-0.0042020701803267
676,-0.6796152591705322,-0.21418771147727966,89.40203857421875,1.4628249406814575,2.885474920272827,1.0008758306503296,37325,,,,,,,,,,
677,,,,,,,37326,-0.30421867966651917,0.25118473172187805,0.011041468940675259,,,,,,,
678,,,,,,,37329,,,,-0.006322030443698168,-0.002679109340533614,0.7033799886703491,0.7107794880867004,,,
679,,,,,,,37330,,,,,,,,-0.09283013641834259,-0.039944037795066833,-0.004221993964165449
680,-0.18794770538806915,-0.16985613107681274,89.49974822998047,1.4359440803527832,2.902024745941162,1.0039300918579102,37425,,,,,,,,,,
681,,,,,,,37426,-0.30989035964012146,0.24527132511138916,0.008084256201982498,,,,,,,
682,,,,,,,37428,,,,-0.00220835255458951,-0.00010199561802437529,0.7040125131607056,0.7101827263832092,,,
683,,,,,,,37430,,,,,,,,0.101315937936306,0.10685019195079803,0.02375379204750061
684,0.23426808416843414,0.19229725003242493,89.58645629882812,1.4096243381500244,2.916332483291626,1.0073951482772827,37525,,,,,,,,,,
685,,,,,,,37526,-0.30441802740097046,0.23102465271949768,0.00026328369858674705,,,,,,,
686,,,,,,,37528,,,,0.002555115846917033,0.0002538249536883086,0.7045497298240662,0.709648609161377,,,
687,,,,,,,37530,,,,,,,,-0.012740480713546276,0.06968597322702408,0.019068662077188492
688,0.6136214137077332,0.0946066677570343,89.66122436523438,1.38816499710083,2.928356885910034,1.0089576244354248,37625,,,,,,,,,,
689,,,,,,,37626,-0.2882069945335388,0.21395830810070038,-0.004869856871664524,,,,,,,
690,,,,,,,37628,,,,0.004302561283111572,0.0031944294460117817,0.7050052881240845,0.709180474281311,,,
691,,,,,,,37630,,,,,,,,-0.14569832384586334,-0.09079686552286148,0.014555607922375202
692,-0.5724714398384094,-1.4861395359039307,89.75688171386719,1.3698819875717163,2.9412355422973633,1.009686827659607,37725,,,,,,,,,,
693,,,,,,,37726,-0.27546605467796326,0.21201859414577484,0.0002852253965102136,,,,,,,
694,,,,,,,37728,,,,-0.012793172150850296,0.005671550054103136,0.7055806517601013,0.7084900140762329,,,
695,,,,,,,37730,,,,,,,,-0.16082477569580078,-0.07894961535930634,0.0023489738814532757
696,-0.5806536078453064,-1.6774201393127441,89.82322692871094,1.3486851453781128,2.9569122791290283,1.0106531381607056,37825,,,,,,,,,,
697,,,,,,,37826,-0.27876484394073486,0.23150476813316345,-6.057686186977662e-05,,,,,,,
698,,,,,,,37828,,,,-0.014024598523974419,0.006796376314014196,0.7059807777404785,0.7080580592155457,,,
699,,,,,,,37830,,,,,,,,-0.03632599115371704,-0.053928788751363754,0.009488956071436405
700,-0.4521118998527527,-1.3985679149627686,89.83014678955078,1.332419753074646,2.9744951725006104,1.0092495679855347,37925,,,,,,,,,,
701,,,,,,,37926,-0.2765333354473114,0.2502666711807251,-0.0037630824372172356,,,,,,,
702,,,,,,,37928,,,,-0.01151647325605154,0.005864888429641724,0.7060320973396301,0.7080603837966919,,,
703,,,,,,,37930,,,,,,,,0.11696998029947281,-0.00011764662485802546,-0.022335100919008255
704,-0.37637192010879517,-1.031310796737671,89.7602310180664,1.3179200887680054,2.9950103759765625,1.0076311826705933,38025,,,,,,,,,,
705,,,,,,,38026,-0.2700433135032654,0.2631145119667053,-0.01504767220467329,,,,,,,
